procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24728 170848    0    0     0     0   31   39  0  0 100  0  0 2020-05-25 16:18:16
 0  0  91784 173384  24728 170848    0    0     0     0   78   62  0  0 100  0  0 2020-05-25 16:18:17
 0  0  91784 173384  24728 170848    0    0     0     0  110   89  0  0 100  0  0 2020-05-25 16:18:18
 0  0  91784 173384  24728 170848    0    0     0     0   31   41  0  0 100  0  0 2020-05-25 16:18:19
 0  0  91784 173384  24736 170848    0    0     0    12   75   83  1  1 98  0  0 2020-05-25 16:18:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24736 170852    0    0     0     0   34   43  0  0 100  0  0 2020-05-25 16:18:21
 0  0  91784 173384  24736 170852    0    0     0     0   31   42  0  0 100  0  0 2020-05-25 16:18:22
 0  0  91784 173384  24736 170852    0    0     0     0   85   99  0  0 100  0  0 2020-05-25 16:18:23
 1  0  91784 173384  24736 170852    0    0     0     0  286  251  2  1 97  0  0 2020-05-25 16:18:24
 1  0  91784 173384  24744 170852    0    0     0    12  423  426 57  3 40  0  0 2020-05-25 16:18:25
 0  0  91784 173384  24744 170852    0    0     0     0   66   47 40  0 60  0  0 2020-05-25 16:18:26
 0  0  91784 173384  24744 170852    0    0     0     0   31   38  0  0 100  0  0 2020-05-25 16:18:27
 0  0  91784 173384  24744 170852    0    0     0     0   68   64  0  1 99  0  0 2020-05-25 16:18:28
 0  0  91784 173384  24744 170852    0    0     0     0   36   42  0  0 100  0  0 2020-05-25 16:18:29
 0  0  91784 173384  24752 170852    0    0     0    16   71   87  0  0 99  1  0 2020-05-25 16:18:30
 0  0  91784 173384  24752 170852    0    0     0     0   34   41  0  1 99  0  0 2020-05-25 16:18:31
 0  0  91784 173384  24752 170852    0    0     0     0   31   41  1  0 99  0  0 2020-05-25 16:18:32
 0  0  91784 173384  24752 170852    0    0     0     0   84  102  0  0 100  0  0 2020-05-25 16:18:33
 0  0  91784 173384  24752 170852    0    0     0     0   32   38  0  1 99  0  0 2020-05-25 16:18:34
 0  0  91784 173384  24760 170852    0    0     0    12   72   83  0  0 100  0  0 2020-05-25 16:18:35
 0  0  91784 173384  24760 170852    0    0     0     0   27   32  1  0 99  0  0 2020-05-25 16:18:36
 0  0  91784 173384  24760 170852    0    0     0     0   46   55  0  0 100  0  0 2020-05-25 16:18:37
 0  0  91784 173384  24760 170852    0    0     0     8   92   80  0  1 99  0  0 2020-05-25 16:18:38
 0  0  91784 173384  24760 170852    0    0     0     0   30   33  0  1 99  0  0 2020-05-25 16:18:39
