procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 1  0  91819 157929  24129 181852    0    0     0     0  767  738 22  6 72  0  0 2020-05-25 19:40:11
 3  0  91819 157707  24129 181852    0    0     0     0  600  420 96  4  0  0  0 2020-05-25 19:40:12
 0  0  91819 157929  24129 181852    0    0     0     0 1607  994 30 13 57  0  0 2020-05-25 19:40:13
 1  0  91819 157929  24129 181852    0    0     0     8  498  412  0  2 98  0  0 2020-05-25 19:40:14
 1  0  91819 157914  24036 181852    0    0     0    24  438  378  6  4 89  1  0 2020-05-25 19:40:15
 0  0  91819 157968  24036 181852    0    0     0     0  225  182  0  0 100  0  0 2020-05-25 19:40:16
 0  0  91819 158015  24036 181814    0    0     0     0  175  170  0  1 99  0  0 2020-05-25 19:40:17
 1  0  91819 158129  24036 181814    0    0     0     0  592  502  6  5 89  0  0 2020-05-25 19:40:18
 0  0  91819 158129  24036 181814    0    0     0     0  169  168  0  1 99  0  0 2020-05-25 19:40:19
 0  0  91819 158129  24050 181814    0    0     0    12  113  120  0  0 100  0  0 2020-05-25 19:40:20
 0  0  91819 158457  24050 181814    0    0     0    12  268  231  0  2 98  0  0 2020-05-25 19:40:21
 0  0  91819 158015  24050 181814    0    0     0     0  145  130  0  0 100  0  0 2020-05-25 19:40:22
 0  0  91819 158015  24050 181814    0    0     0     0   65   65  1  0 99  0  0 2020-05-25 19:40:23
 0  0  91819 158015  24050 181814    0    0     0     0   75   77  0  1 99  0  0 2020-05-25 19:40:24
 0  0  91819 158015  24163 181814    0    0     0     0  141  117  0  0 100  0  0 2020-05-25 19:40:25
 0  0  91819 158129  24163 181814    0    0     0    12   96  103  0  0 99  1  0 2020-05-25 19:40:26
 0  0  91819 158015  24163 181814    0    0     0     0  153  123  0  2 98  0  0 2020-05-25 19:40:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158139  24163 181814    0    0     0     0  407  339  0  6 94  0  0 2020-05-25 19:40:28
 0  0  91819 158264  24163 181814    0    0     0     0  295  253  0  4 96  0  0 2020-05-25 19:40:29
 0  0  91819 158264  24163 181814    0    0     0     0   80  101  1  0 99  0  0 2020-05-25 19:40:30
 0  0  91819 158391  24151 181852    0    0     0     0  228  207  0  2 98  0  0 2020-05-25 19:40:31
 0  0  91819 158451  24151 181852    0    0     0     0  100  126  0  0 100  0  0 2020-05-25 19:40:32
 0  0  91819 158391  24151 181852    0    0     0     0   44   46  0  0 100  0  0 2020-05-25 19:40:33
 1  0  91819 158263  24151 181852    0    0     0     0  160  134  0  1 99  0  0 2020-05-25 19:40:34
 0  0  91819 158263  24059 181852    0    0     0     0  238  209  0  0 100  0  0 2020-05-25 19:40:35
 0  0  91819 158380  24059 181852    0    0     0     0  230  173  0  0 100  0  0 2020-05-25 19:40:36
 1  0  91819 158449  24059 181852    0    0     0     0  182  142  1  3 96  0  0 2020-05-25 19:40:37
 0  0  91819 158451  24059 181852    0    0     0     0   86   95  0  0 100  0  0 2020-05-25 19:40:38
 0  0  91819 158451  24121 181852    0    0     0    12  130  139  0  0 100  0  0 2020-05-25 19:40:39
 0  0  91819 158451  24121 181852    0    0     0     0  114   88  0  0 100  0  0 2020-05-25 19:40:40
 0  0  91819 158451  24121 181852    0    0     0     0   44   49  1  0 99  0  0 2020-05-25 19:40:41
 0  0  91819 158451  24121 181852    0    0     0     0  109  114  0  2 98  0  0 2020-05-25 19:40:42
 0  0  91819 158465  24121 181852    0    0     0     4  149  139  0  2 98  0  0 2020-05-25 19:40:43
 0  0  91819 158584  24101 181852    0    0     0    12   77   96  0  2 97  1  0 2020-05-25 19:40:44
 0  0  91819 158584  24101 181852    0    0     0     0  103   90  1  0 99  0  0 2020-05-25 19:40:45
 1  0  91819 158465  24101 181852    0    0     0     0  117  104  6  0 94  0  0 2020-05-25 19:40:46
 0  0  91819 158465  24101 181852    0    0     0     0   69   95  2  0 98  0  0 2020-05-25 19:40:47
 0  0  91819 158674  24101 181852    0    0     0     0   47   42  0  1 99  0  0 2020-05-25 19:40:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  24123 181852    0    0     0     0   26   46  0  0 100  0  0 2020-05-25 19:40:49
 0  0  91819 158465  24123 181852    0    0     0    12  135  139  0  1 99  0  0 2020-05-25 19:40:50
 0  0  91819 158465  24123 181852    0    0     0    20  237  314 20  2 78  0  0 2020-05-25 19:40:51
 0  0  91819 158465  24123 181852    0    0     0     0   93   89  0  0 100  0  0 2020-05-25 19:40:52
 0  0  91819 158465  24123 181852    0    0     0     0   47   64  0  0 100  0  0 2020-05-25 19:40:53
 0  0  91819 158674  24114 181852    0    0     0     0   58   61  0  0 100  0  0 2020-05-25 19:40:54
 0  0  91819 158674  24114 181852    0    0     0    12   57   73  0  0 99  1  0 2020-05-25 19:40:55
 0  0  91819 158674  24114 181852    0    0     0     0  112   87  0  0 100  0  0 2020-05-25 19:40:56
 0  0  91819 158605  24114 181852    0    0     0     0   78   84  0  0 100  0  0 2020-05-25 19:40:57
 0  0  91819 158605  24114 181852    0    0     0     0   98   91  0  1 99  0  0 2020-05-25 19:40:58
 0  0  91819 158605  24196 181852    0    0     0     0  109  115  0  1 99  0  0 2020-05-25 19:40:59
 0  0  91819 158605  24196 181852    0    0     0    12   91  116  0  0 100  0  0 2020-05-25 19:41:00
 0  0  91819 158605  24196 181852    0    0     0     0   95   91  0  1 99  0  0 2020-05-25 19:41:01
 0  0  91819 158264  24196 181814    0    0     0    12  239  232  0  1 99  0  0 2020-05-25 19:41:02
 0  0  91819 158605  24196 181814    0    0     0     0   96   80  0  0 100  0  0 2020-05-25 19:41:03
